Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
1,0.009,0.6323,-0.3747,38,17.573,4.36
1,0.009,0.4987,-0.1476,36,17.573,4.36
1,1.5928,0.5789,-0.0897,36,17.573,4.36
1,1.2444,0.9558,-0.1513,36,14.805,4.36
1,2.0273,0.9558,-0.1513,38,14.805,4.36
1,-1.1618,0.557,-0.3971,38,14.805,4.36
1,0.4878,0.6809,-0.5483,40,14.805,4.36
1,0.1419,0.5571,0.2716,40,14.866,4.36
1,1.3091,0.3667,-0.2012,41,14.866,4.36
1,1.3713,0.5748,-0.2451,41,14.866,4.36
1,1.3629,0.5748,-0.2451,53,14.186,4.36
1,0.6794,0.7845,-0.1311,53,14.186,4.36
1,-1.3629,0.3219,0.1263,120,14.186,4.36
1,0.1826,0.4101,0.3898,120,12.755,4.36
1,0.6016,0.5432,0.2245,182,12.755,4.36
1,0.3095,1.2335,-0.0219,182,12.755,4.36
1,1.0493,1.2335,-0.0219,224,13.97,4.36
1,0.9942,1.1119,0.6025,224,13.97,4.36
1,1.3809,1.3433,0.1185,270,13.97,4.36
1,0.7668,1.2377,0.0919,270,13.97,4.36
1,1.7304,1.3506,0.1121,300,13.181,4.36
1,0.5764,1.47,-0.1891,300,13.181,4.36
1,0.1969,1.47,-0.1891,319,13.181,4.36
1,0.3286,1.4502,0.2281,319,14.447,4.36
1,0.1395,1.0916,-0.0718,328,14.447,4.36
1,2.0094,1.1523,0.0823,328,14.447,4.36
1,0.987,1.1354,0.0125,272,15.392,4.36
1,1.1989,1.2545,-0.0074,272,15.392,4.36
1,-0.1526,1.2545,-0.0074,240,15.392,4.36
1,0.908,1.3997,0.1265,240,15.2,4.36
1,0.6052,1.3092,0.1152,219,15.2,4.36
1,0.1982,1.0865,0.1716,219,15.2,4.36
1,2.1482,1.5626,-0.1165,219,15.2,4.36
1,-1.0492,1.4322,0.4042,219,13.868,4.36
1,0.0521,1.066,0.0775,249,13.868,4.36
1,0.6842,1.066,0.0775,249,13.868,4.36
1,2.4152,0.9614,-0.1512,234,14.401,4.36
1,2.0644,1.2815,0.0493,234,14.401,4.36
1,0.4304,1.8383,-0.586,210,14.401,4.36
1,-0.981,1.725,0.3639,210,14.864,4.36
1,1.2576,2.3153,-0.0109,177,14.864,4.36
1,0.9954,2.3153,-0.0109,177,14.864,4.36
