Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
4,-6.4901,-6.2325,0.1317,0,30.478,4.18
4,-5.6126,-6.3603,0.1127,0,33.119,4.18
4,-5.1062,-6.2676,0.1907,0,31.788,4.18
4,-8.9322,-5.8501,-0.4059,0,35.364,4.18
4,-9.6157,-6.2919,-0.5984,0,37.206,4.18
4,-5.9705,-6.4048,0.2817,0,31.682,4.18
4,-5.3887,-6.5995,0.0362,0,35.935,4.18
4,-3.2352,-5.8188,0.6129,0,38.222,4.18
4,-4.2467,-5.915,-0.0648,0,32.079,4.18
4,-8.6472,-6.282,-0.0549,0,38.067,4.18
4,-5.0248,-5.2748,-0.3588,0,37.761,4.18
4,-7.4525,-5.951,0.095,0,44.604,4.18
4,-3.3716,-5.0678,0.1218,0,33.671,4.18
4,-3.3812,-5.0249,-0.008,0,31.26,4.18
4,-5.1625,-5.8476,0.1269,0,24.318,4.18
4,-7.9781,-4.982,-0.8151,0,29.805,4.18
